609000,3202000
1300000,5273000
1488000,184925485
2000000,4000000
3900000,390525192
2600000,84300000
1400000,16400000
858000,268000000
850000,19500000
1707000,12800000
65000,16000000
2125000,65000000
6000000,16000000
3000000,9012000
3000000,28800000
2900000,263591415
8250000,30000000
4000000,36000000
4000000,87400000
1000000,27559000
4000000,93600000
13500000,80000000
3000000,33300000
6000000,36800000
15000000,73000000
4000000,40400000
4000000,153000000
10000000,50100000
42000000,71000000
6000000,102300000
8200000,286214286
15000000,34562222
4000000,141843000
14100000,58500000
6000000,102308900
2200000,136397186
800000,98000000
7000000,268355541
12000000,402735134
2600000,119500000
12000000,470700000
1000000,225000000
11000000,786535665
6000000,387513770
8000000,106260000
23000000,534058751
20000000,389925971
10500000,792804231
32500000,572625409
30000000,295212467
19000000,385524862
15000000,356800601
15000000,164016972
25000000,408080878
35000000,409132777
15000000,468427450
20000000,451421625
28000000,495277270
63000000,1038812584
79300000,987480140
30000000,364402211
75000000,817355682
200000000,2207615668
65000000,484819491
115000000,1027044677
123000000,345141403
125000000,974755371
139000000,821706375
94000000,936429370
70000000,932252921
115000000,848998877
225000000,323464171
258000000,890875303
185000000,1002891358
425000000,2783918982
200000000,1069818229
125000000,1341511219
225000000,1519479547
130000000,864868047
58000000,547326372
215000000,1667137056
